name,CAS,LF,Standard,Dyetype,class,properties
Name:C.I.Acid Black 107,CAS Registry Number:12218-96-1,5,ISO,AcidDye,Molecular Structure: ,"Properties and Applications:brown light grey. Black powder, water solution is blue gray. Used for wool, silk, tussah, polyamide, PVA, d/cotton, wool/stick blended fabric dyeing and printing."
"Name:C.I.Acid Black 99,C.I.18164",CAS Registry Number:79502-95-7,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications: blue ash.
"Name:C.I.Acid Black 63,C.I.12195",CAS Registry Number:32517-36-5,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: blue ash. Deep yellow powder. Slightly soluble in water, soluble in ethylene glycol ether, DMF, ethanol, and other organic solvents. Its solution for brown. Dye bath of copper ions slight changes in color, iron ion in the same light. Used for wool, polyamide fiber dyeing, nylon fabric can be in directly on printing. Mainly used for pigskin, such as cow leather, goat natural leather finishing the spray or curtains, especially suitable for aniline leather spraying shading."
"Name:C.I.Acid Black 60,C.I.18165",CAS Registry Number:12218-95-0,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: blue ash. Blue-black powder. The strong sulfuric acid for red purple, pink to purple solution diluted; No change in strong hydrochloric acid, after dilution is light blue solution and accompanied by precipitation; In nitric acid for brown, diluted is shallow brown; No change in sodium hydroxide solution, diluted solution for blue. Water solution is blue light gray."
"Name:C.I.Acid Black 58,C.I.12230",CAS Registry Number:12218-94-9,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: blue ash. Used for wool, polyamide fiber, silk dyeing and printing, also used in leather color."
"Name:C.I.Acid Black 54,C.I.14885",CAS Registry Number:6370-09-8,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: green and black. Soluble in water for purple, slightly soluble in alcohol. The strong sulfuric acid for blue to gray, for pink to purple diluted. The dye solution to join strong hydrochloric acid for product red, add thick sodium hydroxide solution for red light blue"
"Name:C.I.Acid Black 52,C.I.15711",CAS Registry Number:5610-64-0,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: black. Dark brown powder. A red light black soluble in water, soluble in ethanol and soluble fiber element, slightly soluble in acetone, insoluble in other organic solvents. Meet strong sulfuric acid is dark, dilute to create black precipitation; Meet nitric acid was yellow brown solution; In a rare dark-purple sodium hydroxide solution. Used for wool, polyamide, silk dyeing and printing, also used in leather and electrochemical dyeing aluminum shading."
"Name:C.I.Acid Black 51,C.I.16711",CAS Registry Number:6408-19-1,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: black. Used for wool, polyamide fiber dyeing and printing."
"Name:C.I.Acid Black 48,C.I.65005",CAS Registry Number:1328-15-15,3,ISO,AcidDye,Molecular Structure:  anthraquinones,"Properties and Applications: blue ash to green light navy blue. Soluble in ethanol, slightly soluble in soluble fiber element, insoluble in benzene, acetone, chloroform organic solvents. The strong sulfuric acid for gray, after diluted gray precipitation."
"Name:C.I.Acid Black 47,C.I.56055",CAS Registry Number:1328-01-4,3-4,ISO,AcidDye,Molecular Structure:  aphthoquinone class,Properties and Applications: blue ash.
"Name:C.I.Acid Black 43,C.I.15691",CAS Registry Number:6370-16-7,3-4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications:  red light black. Soluble in water for black purple. The strong sulfuric acid for green light black; After diluted for purple brown precipitation. In water solution to join hydrochloric acid is palm orange; With strong sodium hydroxide solution for wine red to deep red wine.
"Name:C.I.Acid Black 41,C.I.20480",CAS Registry Number:5850-37-33,2,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: blue and black. Soluble in water as dark blue to blue-black, easily soluble in soluble fiber element, slightly soluble in alcohol, insoluble in other organic solvents. The strong sulfuric acid for dark olive green to, diluted as dark blue precipitation; In nitric acid for green precipitation, and then into a chestnut; In 10% of sodium hydroxide solution for light blue solution. In water solution to join strong hydrochloric acid for dark blue; Add sodium hydroxide solution as dark blue."
"Name:C.I.Acid Black 36,C.I.27275",CAS Registry Number:8004-70-4,2,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications:  a dark grey light black. Soluble in water for dark red light purple. The strong sulfuric acid in dark green light for blue, diluted into dark purple. In water solution to join hydrochloric acid for blue; Add sodium hydroxide solution for pure blue."
"Name:C.I.Acid Black 35,C.I.26320",CAS Registry Number:6527-60-2,3-4,AATCC,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: red light black. Moderate soluble in water for violet black, slightly soluble in ethanol for purple. The strong sulfuric acid for green light blue, diluted into a deep red. In water solution to join strong hydrochloric acid deep red precipitate; With strong sodium hydroxide solution for purplish red color."
"Name:C.I.Acid Black 34,C.I.15715",CAS Registry Number:6408-00-0,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications: blue and black.
"Name:C.I.Acid Black 32,C.I.26990",CAS Registry Number:3682-47-1,4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: green and black. Soluble in water for black, soluble in ethanol, slightly soluble in soluble fiber element. The strong sulfuric acid as dark blue light in purple, diluted solution for olive. In water solution to join 10% of sulfuric acid discoloration; Add 10% sodium hydroxide solution for dark blue light red."
"Name:C.I.Acid Black 31,C.I.17580",CAS Registry Number:6222-55-5,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue and black. Blue-ray black powder. Soluble in water for purple to blue-black, soluble in ethanol for purple. The strong sulfuric acid are purple to blue-black, a grey purple diluted. Its water solution and strong hydrochloric acid for violet black; Add thick as a hydrogen oxidation solution tresses. Mainly used for wool fabric and wool/rayon blended fabric dyeing, pitch-black degree good, high fastness. Also used in leather dyeing."
"Name:C.I.Acid Black 29,C.I.30336",CAS Registry Number:12217-14-0,3-4,ISO,AcidDye,Molecular Structure:  trisazo class,"Properties and Applications: black. Black powder, unfavorable discharge. Used for wool, silk dyeing and printing, also can be used for leather color."
"Name:C.I.Acid Black 28,C.I.20500",CAS Registry Number:5850-41-9,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: blue and black. Soluble in water, slightly soluble in ethanol, very few soluble in acetone, insoluble in benzene. The strong sulfuric acid for green, diluted green for blue-ray."
"Name:C.I.Acid Black 27,C.I.26310",CAS Registry Number:6548-25-0,2,AATCC,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: brown light black. Soluble in water for deep red, slightly soluble in alcohol. The strong sulfuric acid for blue-black, diluted into a deep red. In water solution to join strong hydrochloric acid is a deep red; Add thick sodium hydroxide solution for deep red."
"Name:C.I.Acid Black 26,C.I.27070",CAS Registry Number:6262-07-3,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: navy blue light to dark. Blue-ray black powder. Soluble in water, in 90 ℃ water solubility of 100 g/L, slightly soluble in ethanol and acetone. The strong sulfuric acid dyes for purple, diluted to blue. The water solution is blue. Discharge sex is good. Used for wool, polyamide fiber, silk and wool blended fabric dyeing, also can be used for leather color. This product is suitable for the dye scattered hair, tops, yarn. Dye, is the best."
"Name:C.I.Acid Black 24,C.I.26370",CAS Registry Number:3071-73-6,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: blue and black. Blue-black powder. Soluble in water is red light blue or black, soluble in ethanol for navy, slightly soluble in acetone, insoluble in other organic solvents. In a strong sulfuric acid powder blue, it will be a dark green light blue after diluted; In a red light brown nitric acid to yellow. Its water solution and strong hydrochloric acid is green light blue; Add sodium hydroxide fluid shows purplish red color. Dyeing copper ions in a dark green color, also meet iron ion is dark. Used for the Wool Fabric dyeing, especially suitable for kemp products and Wool Blended Fabric dyeing, also can be used for polyamide, silk and leather dyeing. The Barium salt can be used as organic pigments."
"Name:C.I.Acid Black 21,C.I.26405",CAS Registry Number:10142-78-6,5,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: black. Soluble in water for dark purple, soluble in ethanol for red light blue. The strong sulfuric acid for blue-ray black, diluted green for blue-ray. The dye solution to join strong hydrochloric acid for turquoise blue; Add thick sodium hydroxide solution have sauce red precipitate. Suitable for the wool dyeing and printing, also suitable for leather shading."
"Name:C.I.Acid Black 18,C.I.27790",CAS Registry Number:6227-09-4,4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: blue and black. Soluble in water for a blue-black, easily soluble in soluble fiber element, insoluble in other organic solvents. In the dark for the strong sulfuric acid, after diluted blue-black precipitation; In the dark for strong nitric acid solution, and then into a chestnut; In 10% of sodium hydroxide solution for black solution in red."
"Name:C.I.Acid Black 17,C.I.20350",CAS Registry Number:2668-05-5,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: red light black. Soluble in water for dark, slightly soluble in alcohol. The strong sulfuric acid for blue, dilute appears after the granular blue precipitation. In water solution to join hydrochloric acid for blue light green, spare part will precipitate out; Add thick sodium hydroxide solution to blue. Suitable for wool, polyamide fiber dyeing and printing."
"Name:C.I.Acid Black 16,C.I.20345",CAS Registry Number:5863-90-1,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: black. Soluble in water, slightly soluble in ethanol, very few soluble in acetone, insoluble in benzene. In the dark for the strong sulfuric acid, diluted for purple. Suitable for leather color."
"Name:C.I.Acid Black 7,C.I.26300",CAS Registry Number:8004-59-9,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: black. Soluble in water and ethanol is a deep red. The strong sulfuric acid in blue or black for ash, after diluted red purple precipitation. In water solution to join strong hydrochloric acid is a deep red; Add thick sodium hydroxide solution for deep red."
"Name:C.I.Acid Black 5,C.I.27510",,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: black. Soluble in water for dark purple, slightly soluble in alcohol for violet blue. The strong sulfuric acid for green, diluted into purple. In water solution to join strong hydrochloric acid for purplish red color; Add thick sodium hydroxide solution for dark."
"Name:C.I.Acid Black 4,C.I.35420",CAS Registry Number:7237-45-8,2-3,ISO,AcidDye,Molecular Structure:  Multi-azo class,"Properties and Applications: red light black. Soluble in water for violet black, not soluble in alcohol. The strong sulfuric acid for blue, blue for red after diluted. The dye solution to join strong hydrochloric acid for dark; Add thick sodium hydroxide solution for blue-ray black."
"Name:C.I.Acid Black 3,C.I.27260",CAS Registry Number:4197-00-6,3,ISO,AcidDye,Molecular Structure: ,"Properties and Applications:  the light black. Soluble in water for purple, slightly soluble in alcohol. The strong sulfuric acid for gray, diluted into purple. In water solution to join strong hydrochloric acid for blue; Add thick sodium hydroxide solution to blue."
"Name:C.I.Acid Black 2,C.I.50420",CAS Registry Number:8005-03-6,4,ISO,AcidDye,Molecular Structure:  azine class,"Properties and Applications:  black. Black with flash in the granular, a violet is soluble in water, soluble in ethanol is blue. The strong sulfuric acid dyes is blue, it will be diluted and the generated purple precipitation. Blue light purple in aqueous solution, and sodium hydroxide show dark purple precipitation. Mainly used for leather dyeing. Also applies to paper, wood, soap, electrical-controlled aluminum, wool and silk dyeing of content, but also can be used in the manufacture of ink."
"Name:C.I.Acid Black 1,C.I.20470",CAS Registry Number:1064-48-8,,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: blue and black. Dark brown powder. A blue-black soluble in water, soluble in ethanol is blue, slightly soluble in acetone, insoluble in other organic solvents. Meet strong sulfuric acid is blue light green, the bright blue light generated after diluted precipitation; Nitric acid solution in a dark after Red sauce for change, and it will generate dark green light blue after diluted precipitation; Nitric acid solution in a dark red to sauce; 10% sodium hydroxide solution in a bright blue. It with strong hydrochloric acid aqueous solution of the generation of green light blue precipitation; Add sodium hydroxide solution generation blue precipitation. In dyeing copper and iron ion, its colour and lustre is the former micro change, the latter slightly with green light. Even dye the gender is poorer. Mainly used for wool, silk, polyamide fiber and its blended fabric dyeing and printing, also can be used for paper, electrical-controlled aluminum, soap, wood, biological, leather, medicine and cosmetics shading, also can be used in the manufacture of ink."
Name:C.I.Acid Brown 464,,,ISO,AcidDye,"Molecular Structure:  Double azo,Metal Complexes",Properties and Applications:brown.
Name:C.I.Acid Brown 463,,,ISO,AcidDye,"Molecular Structure:  Double azo class,Metal Complexes",Properties and Applications:Yellow brown.
Name:C.I.Acid Brown 462,,,ISO,AcidDye,Molecular Structure:  azo class,Properties and Applications:Yellow brown.
Name:C.I.Acid Brown 461,,,ISO,AcidDye,Molecular Structure: Double azo class(Metal Complexes),Properties and Applications: brown.
Name:C.I.Acid Brown 449,CAS Registry Number:84682-46-2,3-4(60 ℃),ISO,AcidDye,"Molecular Structure:  azo,1:2 Metal Complexes",Properties and Applications:Red  brown
Name:C.I.Acid Brown 436,CAS Registry Number:84788-14-7,5(60℃),ISO,AcidDye,"Molecular Structure:  azo ,1:2 Metal Complexes",Properties and Applications: red brown.
Name:C.I.Acid Brown 402,CAS Registry Number:127830-16-4,5,ISO,AcidDye,"Molecular Structure: azo,1:2 Metal Complexes","Properties and Applications: brown. Applicable wool, silk, cotton dyeing and printing of black silk ribbon."
Name:C.I.Acid Brown 384,,4,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes",Properties and Applications: yellow light brown
Name:C.I.Acid Brown 365,CAS Registry Number:63641-88-3,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2Metal Complexes","Properties and Applications: red light brown. Apply to wool, silk and cotton of black silk ribbon printing and dyeing."
Name:C.I.Acid Brown 357,CAS Registry Number:61814-63-9,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2Metal Complexes",Properties and Applications: red light brown.
Name:C.I.Acid Brown 355,CAS Registry Number:60181-77-3,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2Metal Complexes",Properties and Applications: red light brown. Used for wool and leather.
Name:C.I.Acid Brown 298,CAS Registry Number:12234-78-5,4,ISO,AcidDye,"Molecular Structure:  azo, Metal Complexes","Properties and Applications:  red light brown. Used for wool, silk, cotton black silk ribbon printing and dyeing, it can also be used for leather color."
Name:C.I.Acid Brown 289,CAS Registry Number:12219-72-6,4,ISO,AcidDye,"Molecular Structure:  Single azo, Metal Complexes",Properties and Applications: brown
Name:C.I.Acid Brown 283,CAS Registry Number:12219-66-8,4,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes","Properties and Applications: red light brown. Used for wool, cotton black silk ribbon printing and dyeing."
Name:C.I.Acid Brown 282,CAS Registry Number:12219-65-7,5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes","Properties and Applications: Brown. Apply to wool, silk, cotton dyeing and printing of black silk ribbon, also can used for leather shading."
"Name:C.I.Acid Brown 248,C.I.10402",,1-2,ISO,AcidDye,Molecular Structure:  Nitrodiphenylamine,"Properties and Applications:   brown. Brown powder, soluble in water. The strong sulfuric acid dyes for green light yellow, no change after diluted; After add sodium hydroxide color becomes shallow. Levelness and discharge good sex, in dyeing copper and iron ion color shade darker. Used for wool, silk and wool products dyeing, general is not used for printing."
"Name:C.I.Acid Brown 234,C.I.11837",,3,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: Dark brown. soluble in water and ethanol is red light brown, the strong sulfuric acid for orange brown; For dark red light after diluted orange; Join the hydrochloric acid solution with brown precipitation, add sodium hydroxide to red, and then into a brown precipitation."
"Name:C.I.Acid Brown 233,C.I.20018",,4,ISO,AcidDye,"Molecular Structure:  Double azo class,Metal Complexes","Properties and Applications: red light brown. Soluble in water for brown, soluble in ethanol for red light brown. The strong sulfuric acid for orange brown, diluted for orange brown still. Add in aqueous solution hydrochloric acid have red brown precipitation; Add sodium hydroxide in red."
Name:C.I.Acid Brown 50,,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: red light brown. The original dye appearance of the yellow powder, soluble in ethylene glycol ether, DMF, ethanol, and other organic solvent, and its solution for brown. Mainly used for pigskin, such as cow leather, goat natural leather finishing the spray or curtains, especially suitable for aniline leather spraying shading."
"Name:C.I.Acid Brown 42,C.I.14251",,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: red light brown. Soluble in water for brown, soluble in ethanol, slightly soluble in soluble fiber element. The strong sulfuric acid for yellow brown, red brown after diluted; In nitric acid partly dissolved, for red brown; In 10% of sulfuric acid partly dissolved for red brown; In 10% of sodium hydroxide solution in a part of the solution, for red brown."
"Name:C.I.Acid Brown 32,C.I.23000",,4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: red light brown. Soluble in water for orange brown, slightly soluble in ethanol for orange red. For the strong sulfuric acid in purplish red, orange is palm diluted. In water solution to join strong hydrochloric acid for orange brown; Add thick sodium hydroxide solution for orange brown."
"Name:C.I.Acid Brown 29,C.I.12197",,3-4,AATCC,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications:  red light brown.
Name:C.I.Acid Brown 28,,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: red light brown. Black brown powder, soluble in water for black brown solution. Used for wool, silk, polyamide, PVA and their blended fabric dyeing and printing, also can be used for leather dyeing."
"Name:C.I.Acid Brown 27,C.I.66710",,5,ISO,AcidDye,Molecular Structure:  anthraquinones,"Properties and Applications:  brown. The strong sulfuric acid for blu-ray purple, dilute dark orange after precipitation."
"Name:C.I.Acid Brown 26,C.I. 65000",,4-5,ISO,AcidDye,Molecular Structure:  anthraquinones,"Properties and Applications: brown. Slightly soluble in alcohol. The strong sulfuric acid for light in the olive, diluted into orange brown."
Name:C.I.Acid Brown 21,,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications:  red light brown. Brown powder. The strong sulfuric acid for red sauce, diluted solution for red brown; No change in strong hydrochloric acid, diluted into shallow brown solution, and the precipitation; In the nitric acid for brown, sediment can dilute; In the thick of sodium hydroxide solution no change after dilute for brown. Water solution is brown. General for loose hair, tops and article polyamide, less used alone. Also used PVA fabric and dimension / cotton, wool / rayon blended fabric dyeing and printing, but also for leather dyeing."
"Name:C.I.Acid Brown 20,C.I.17640",,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: ark brown. Soluble in water for brown, and adequate soluble in alcohol for brown. The strong sulfuric acid for cherry red, for brown after diluted. In water solution to join strong hydrochloric acid with olives brown precipitation; Add thick sodium hydroxide solution for red orange brown."
"Name:C.I.Acid Brown 17,C.I. 20111",,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,Properties and Applications: brown
"Name:C.I.Acid Brown 16,C.I. 17610",,3-4,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: brown. Soluble in water for brown, slightly soluble in ethanol is brown. The strong sulfuric acid to red light purple, diluted into Olive color. In water solution to join strong hydrochloric acid appear olive precipitation; Add sodium hydroxide for wine red."
"Name:C.I.Acid Brown 14,C.I.20195",CAS Registry Number:5850-16-8,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: red light brown. Soluble in water for orange brown, slightly soluble in ethanol for yellow brown. The strong sulfuric acid is a deep in the red, for yellow brown after diluted. In water solution to join strong hydrochloric acid for yellow brown; Add thick sodium hydroxide solution for red wine. Mainly used for nylon and wool fabric dyeing, also can be used for leather color."
"Name:C.I.Acid Brown 13,C.I.10410",CAS Registry Number:6373-79-1,,ISO,AcidDye,Molecular Structure:  diphenylamine class,"Properties and Applications: brown. Soluble in hot water, slightly soluble in cold water (a brown), soluble in ethanol for brown, easily soluble in soluble fiber element. The strong sulfuric acid for green light yellow, diluted the dark orange."
"Name:C.I.Acid Brown 9,C.I.17165",CAS Registry Number:6222-39-5,3,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications: brown
"Name:C.I.Acid Brown 8,C.I.13000",CAS Registry Number:6407-85-8,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: brown. Water solution is yellow brown, but water-soluble not beautiful, easily soluble in ethanol is yellow light brown. In the dark for the strong sulfuric acid (purple and product red), after diluted for brown. In aqueous solution to join strong hydrochloric acid for yellow olive brown; Add thick hydrogen for orange brown, oxidation solution."
"Name:C.I.Acid Brown 6,C.I.14625",CAS Registry Number:6419-10-5,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red light brown. Soluble in water for brown. The strong sulfuric acid for purple to blue, purple for dark red after diluted. In water solution to join hydrochloric acid for product red, and a brown precipitation; Add 10% of the strong sulfuric acid discoloration; Add sodium hydroxide solution for purple brown."
"Name:C.I.Acid Brown 5,C.I.20095",CAS Registry Number:5850-05-5,2-3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications:  red light brown. Soluble in water for red light brown, slightly soluble in ethanol is shallow orange brown. The strong sulfuric acid for purple, dilute after brown precipitation. In water solution to join hydrochloric acid with brown precipitation; Add thick sodium hydroxide solution have red brown precipitation"
"Name:C.I.Acid Brown 4,C.I.14805",CAS Registry Number:5858-51-5,3-4,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red light brown. Soluble in water for red light brown, soluble in ethanol for yellow light brown. The strong sulfuric acid for wine red, dark blue, diluted to the red orange. Strong hydrochloric acid solution to join a brown orange precipitation; Add thick sodium hydroxide solution for palm orange."
"Name:C.I.Acid Brown 3,C.I.14610",CAS Registry Number:6409-08-1,2,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications:  brown.
"Name:C.I.Acid Brown 2,C.I.17605",CAS Registry Number:3626-41-3,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: brown. Black brown powder. Slightly soluble in water (for blue-ray red), soluble in ethanol (a red light brown), insoluble in other organic solvents. Meet strong sulfuric acid as red light purple, it will be diluted for olive brown; Meet strong sulfuric acid as brown, and soon become yellow light brown. Its water solution with hydrochloric acid produce dark brown precipitation; Add sodium hydroxide produce deep red precipitate. Used for wool fabric, polyamide fiber and silk dyeing and printing."
"Name:C.I.Acid Brown 1,C.I.10395",CAS Registry Number:6373-76-8,2,ISO,AcidDye,Molecular Structure:  diphenylamine class,"Properties and Applications:  red light brown. The strong sulfuric acid for green light yellow, orange diluted."
"Name:C.I.Acid Green 122,C.I.15712",,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Cobalt complexes",Properties and Applications: olive green.
Name:C.I.Acid Green 115,CAS Registry Number:77907-15-4,4,ISO,AcidDye,"Molecular Structure:  Azomethine,Metal Complexes",Properties and Applications: Olive green
Name:C.I.Acid Green 109,CAS Registry Number:152443-17-9,5,ISO,AcidDye,"Molecular Structure: azo,Metal Complexes",Properties and Applications: dark green
Name:C.I.Acid Green 104,CAS Registry Number:61814-51-5,4-5,ISO,AcidDye,"Molecular Structure: azo,1:2 Cobalt complexes",Properties and Applications: dark blue light green
Name:C.I.Acid Green 73,CAS Registry Number:12219-93-1,5,ISO,AcidDye,"Molecular Structure:  azo,1:2 Metal Complexes","Properties and Applications: Green olive green. Apply to wool, polyamide fiber dyeing, also can be used for leather color."
"Name:C.I.Acid Green 62,C.I.11836",CAS Registry Number:6472-56-6,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: brown olive green light. Soluble in ethanol and water into olive. The strong sulfuric acid are brown, red brown after diluted. Its water solution with hydrochloric acid appears after the olive precipitation; With sodium hydroxide with olive, and have yellow-green precipitation."
Name:C.I.Acid Green 56,,,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications:
Name:C.I.Acid Green 54,CAS Registry Number:61724-26-3,4-5,ISO,AcidDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright green. Blue light green powder, soluble in water. Used for wool, silk and polyamide fiber fabric dyeing and printing."
"Name:C.I.Acid Green 50,C.I.44090",CAS Registry Number:3087-16-9,2,ISO,AcidDye,Molecular Structure:  triarylmethane class,"Properties and Applications: blue light green. Blue-green powder. Soluble in cold water, easily soluble in hot water (green blue), soluble in ethanol (turquoise blue). Meet strong sulfuric acid as orange, a green light amber after diluted. Mainly used for wool, polyamide, silk dyeing. Also used in leather, food, medicine and cosmetics of shading."
"Name:C.I.Acid Green 45,C.I.13420",CAS Registry Number:13008-00-9,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: Green. Slightly soluble in ethanol and soluble fiber element, insoluble in acetone, benzene, carbon tetrachloride, pottery, especially solvent. The strong sulfuric acid for yellow olive, diluted into blue purple."
"Name:C.I.Acid Green 44,C.I.61590",CAS Registry Number:6408-59-9,4-5,ISO,AcidDye,Molecular Structure:  anthraquinones,"Properties and Applications: blue light green. Soluble in alcohol. In the dark for the strong sulfuric acid, diluted into chrysanthemum blue."
