0,SMILES
2538-84-3,[Na+].[Na+].COc1cc2c3ccccc3c(O[S]([O-])(=O)=O)c4ccc5c6ccc7c(O[S]([O-])(=O)=O)c8ccccc8c9cc(OC)c(c1c5c24)c6c79
128-58-5,COc1cc2c3ccccc3C(=O)c4ccc5c6ccc7C(=O)c8ccccc8c9cc(OC)c(c1c5c24)c6c79
12227-22-4,Oc1ccc(Nc2ccc3[nH]c4ccccc4c3c2)cc1
1327-79-3,O=C1C=CC(C=C1)=Nc2ccc3[nH]c4ccccc4c3c2
6371-38-6,Clc1ccc(cc1)C(=O)Nc2ccccc2C(=O)N3CCOCC3
6371-35-3,CCOc1ccc(cc1)N2C(=O)C3C(C2=O)C4(C)c5ccccc5C3(C)c6ccccc46
84-40-2,Brc1ccc2NC(\C(=O)c2c1)=C/3Nc4ccc(Br)cc4C3=O
6492-73-5,Brc1ccc2NC(/C(=O)c2c1)=C/3Nc4ccccc4C3=O
4215-99-0,Nc1cc2C(=O)c3cc(Cl)cc(Cl)c3Nc2c4C(=O)c5ccccc5C(=O)c14
6371-50-2,Nc1c(cc(NC(=O)c2ccccc2)c3C(=O)c4ccccc4C(=O)c13)c5sc6cc7C(=O)c8ccccc8C(=O)c7cc6n5
6492-78-0,Nc1c(cc(NC(=O)c2cccc(c2)C(F)(F)F)c3C(=O)c4ccccc4C(=O)c13)c5sc6cc7C(=O)c8ccccc8C(=O)c7cc6n5
4430-55-1,COC(=O)c1c(NC(=O)c2ccc3OCOc3c2)sc4CCCc14
6247-39-8,O=C1c2ccccc2c3ccc4n5nc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68
6373-20-2,Clc1ccc2c(c1)C(=O)c3ccc4c5ccc6C(=O)c7cc(Cl)ccc7c8cc(Cl)c(c9c(Cl)cc2c3c49)c5c68
6219-97-2,FC(F)(F)c1ccc2C(=O)c3cc(NC(=O)c4ccccc4)c5C(=O)c6ccccc6C(=O)c5c3Nc2c1
116-71-2,O=C1c2ccccc2c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68
4086-05-9,[Na+].[Na+].COc1cc(Cl)c(C)c2c1[nH]c(c2O[S]([O-])(=O)=O)c3cc(Cl)c4ccccc4c3O[S]([O-])(=O)=O
2519-28-0,[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c(O[S]([O-])(=O)=O)c3c4Nc5c(Cl)cc6c(O[S]([O-])(=O)=O)c7ccccc7c(O[S]([O-])(=O)=O)c6c5Nc4c(Cl)cc13
130-20-1,Clc1cc2C(=O)c3ccccc3C(=O)c2c4Nc5c(Cl)cc6C(=O)c7ccccc7C(=O)c6c5Nc14
2702-33-2,[Na+].[Na+].[O-][S](=O)(=O)Oc1c([nH]c2c(Br)cc(Br)cc12)c3[nH]c4c(Br)cc(Br)cc4c3O[S]([O-])(=O)=O
2475-31-2,Brc1cc(Br)c2NC(/C(=O)c2c1)=C/3Nc4c(Br)cc(Br)cc4C3=O
6492-73-5,Brc1ccc2NC(/C(=O)c2c1)=C/3Nc4ccccc4C3=O
29245-44-1,Clc1c(Br)ccc2NC(/C(=O)c12)=C/3Nc4ccc(Br)c(Cl)c4C3=O
894-86-0,[Na+].[Na+].[O-]c1c([nH]c2ccccc12)c3[nH]c4ccccc4c3[O-]
3875-70-5,[Na+].[Na+].[O-][S](=O)(=O)Oc1c([nH]c2ccccc12)c3[nH]c4ccccc4c3O[S]([O-])(=O)=O
482-89-3,O=C1\C(Nc2ccccc12)=C/3Nc4ccccc4C3=O
6379-03-9,C\C(=N/NC(=O)COc1cc(Cl)c(Cl)cc1Cl)c2ccc(cc2)c3ccccc3
3076-87-7,COc1ccc(cc1)C(=O)Nc2ccc(O)c3C(=O)c4c(NC(=O)c5ccc(OC)cc5)ccc(O)c4C(=O)c23
4003-36-5,O=C(Nc1ccc(Nc2ccc3C(=O)c4ccccc4C(=O)c3c2)c5C(=O)c6ccccc6C(=O)c15)c7ccccc7
6370-58-7,Oc1ccc(NC(=O)c2ccccc2)c3C(=O)c4c(O)ccc(NC(=O)c5ccccc5)c4C(=O)c13
6373-31-5,Clc1cc(Cl)c2Nc3c(cc(Cl)c4C(=O)c5ccccc5C(=O)c34)C(=O)c2c1
4424-87-7,O=C1c2ccccc2Nc3c1ccc4C(=O)c5c6Nc7ccccc7C(=O)c6ccc5C(=O)c34
128-64-3,O=C1c2ccccc2c3ccc4c5ccc6C(=O)c7ccccc7c8ccc(c9ccc1c3c49)c5c68
1324-17-0,Brc1ccc2C(=O)c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc(c2c1)c3c49)c5c68
10241-20-0,[Na+].[Na+].Cc1cc(Cl)cc2sc(c3[nH]c4c(Cl)cc(Cl)cc4c3O[S]([O-])(=O)=O)c(O[S]([O-])(=O)=O)c12
6904-93-4,Clc1cc(Cl)c2NC(\C(=O)c2c1)=C/3Sc4c(Cl)c(Cl)c(Cl)cc4C3=O
2379-75-1,Cc1cc(Cl)c(C)c2C(=O)\C(Sc12)=C/3Sc4c(C)cc(Cl)c(C)c4C3=O
5462-29-3,Cc1cc(Cl)cc2C(=O)\C(Sc12)=C/3Sc4c(C)cc(Cl)cc4C3=O
1324-55-6,Clc1cc2c3ccc4C(=O)c5ccccc5c6c(Cl)cc(c7ccc8C(=O)c9ccccc9c1c8c27)c3c46
6492-68-8,Clc1ccc2C(=O)\C(Sc2c1)=C\3Sc4cc(Cl)ccc4C3=O
6252-78-4,O=C1/C(Sc2ccccc12)=C3/C(=O)c4cccc5cccc3c45
2987-68-0,O=C(Nc1ccc(NC(=O)c2ccccc2)c3C(=O)c4ccccc4C(=O)c13)c5ccccc5
522-75-8,O=C1\C(Sc2ccccc12)=C/3Sc4ccccc4C3=O
3737-76-6,O=C1c2ccccc2C(=O)c3c4Nc5ccc6ccccc6c5C(=O)c4ccc13
2379-77-3,Clc1ccc(cc1)N2C(=O)c3ccc4c5ccc6C(=O)N(c7ccc(Cl)cc7)C(=O)c8ccc(c9ccc(C2=O)c3c49)c5c68
12227-47-3,Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)c4oc(nn4)c5ccc6C(=O)c7ccccc7C(=O)c6c5N
6424-77-7,COc1ccc(cc1)N2C(=O)c3ccc4c5ccc6C(=O)N(C(=O)c7ccc(c8ccc(C2=O)c3c48)c5c67)c9ccc(OC)cc9
5521-31-3,CN1C(=O)c2ccc3c4ccc5C(=O)N(C)C(=O)c6ccc(c7ccc(C1=O)c2c37)c4c56
4430-70-0,Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)C(=O)Nc4ccc(NC(=O)c5ccc6C(=O)c7ccccc7C(=O)c6c5N)c8C(=O)c9ccccc9C(=O)c48
6409-68-3,Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)/C=N/N=C/c4ccc5C(=O)c6ccccc6C(=O)c5c4N
4216-02-8,O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58
8005-56-9,O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58
10126-90-6,[Na+].[Na+].[Na+].[Na+].Nc1c(ccc2c(O[S]([O-])(=O)=O)c3ccccc3c(O[S]([O-])(=O)=O)c12)c4oc5cc6c(O[S]([O-])(=O)=O)c7ccccc7c(O[S]([O-])(=O)=O)c6cc5n4
2379-79-5,Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)c4oc5cc6C(=O)c7ccccc7C(=O)c6cc5n4
6371-19-3,COc1ccc2C(=O)\C(Sc2c1)=C/3Sc4cc(Cl)cc(C)c4C3=O
6371-23-9,Cc1cc(Cl)cc2SC(/C(=O)c12)=C/3Sc4c(Cl)cc(Cl)c(C)c4C3=O
3875-72-7,[Na+].[Na+].Cc1cc(Cl)cc2sc(c(O[S]([O-])(=O)=O)c12)c3sc4cc(Cl)cc(C)c4c3O[S]([O-])(=O)=O
2379-74-0,Cc1cc(Cl)cc2SC(/C(=O)c12)=C/3Sc4cc(Cl)cc(C)c4C3=O
6370-69-0,O=C(Nc1cccc2C(=O)c3c(Nc4cccc5C(=O)c6ccccc6C(=O)c45)cccc3C(=O)c12)c7ccccc7
1324-02-3,Clc1cc2ccc3C(=O)c4cccc5ccc6C(=O)c(c1Cl)c2c3c6c45
6370-77-0,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4cccc(c4)C(=O)Nc5ccc(NC(=O)c6ccccc6)c7C(=O)c8ccccc8C(=O)c57)cccc3C(=O)c12)c9ccccc9
2379-78-4,O=C(Nc1cccc2C(=O)c3c4[nH]c5c(ccc6C(=O)c7c(NC(=O)c8ccccc8)cccc7C(=O)c56)c4ccc3C(=O)c12)c9ccccc9
6417-38-5,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4ccc5Nc6c(ccc7C(=O)c8ccccc8C(=O)c67)C(=O)c5c4)cccc3C(=O)c12)c9ccccc9
128-70-1,O=C1c2ccccc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc1c3c8c4c57
4424-06-0,O=C1n2c3ccccc3nc2c4ccc5C(=O)n6c7ccccc7nc6c8ccc1c4c58
3263-31-8,CCOc1ccc2C(=O)\C(Sc2c1)=C/3Sc4cc(OCC)ccc4C3=O
1324-33-0,Brc1cc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc(C(=O)c2c(Br)c1Br)c3c8c4c57
10290-03-6,[Na+].[Na+].[O-][S](=O)(=O)Oc1c2cccc3c(Br)cc4c(O[S]([O-])(=O)=O)c5cccc6c(Br)cc1c(c56)c4c23
4378-61-4,Brc1cc2C(=O)c3cccc4c(Br)cc5C(=O)c6cccc1c6c2c5c34
1324-35-2,Brc1ccc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc(C(=O)c2c1Br)c3c8c4c57
1324-11-4,Brc1ccc(Br)c2c3ccc4C(=O)c5ccccc5c6ccc(C(=O)c12)c3c46
12227-50-8,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc(cc4)c5ccc(cc5)N=Nc6ccc(cc6)c7ccc(cc7)C(=O)Nc8cccc9C(=O)c%10ccccc%10C(=O)c89
4216-00-6,Clc1ccc(cc1)C(=O)Nc2ccc3ncnc4c5ccccc5C(=O)c2c34
6252-73-9,O=C1c2ccccc2C(=O)c3c1n4c5c6c(cccc6[S]4(=O)=O)c7nc8ccccc8nc7c35
3627-47-2,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4cccc(c4)C(=O)Nc5cccc6C(=O)c7ccccc7C(=O)c56
6370-78-1,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4cccc(c4)C(=O)Nc5cccc6C(=O)c7c(NC(=O)c8ccccc8)cccc7C(=O)c56)cccc3C(=O)c12)c9ccccc9
4216-01-7,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc5C(=O)c6ccccc6c7ncnc4c57
6417-50-1,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4ccc(cc4)C(=O)Nc5cccc6C(=O)c7c(NC(=O)c8ccccc8)cccc7C(=O)c56)cccc3C(=O)c12)c9ccccc9
6370-75-8,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4ccccc4)cccc3C(=O)c12)C(=O)Nc5cccc6C(=O)c7c(NC(=O)c8ccccc8)cccc7C(=O)c56
2379-76-2,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4cccc(c4)c5ccc(cc5)N=Nc6ccc(c7ccccc7)c(c6)C(=O)Nc8cccc9C(=O)c%10c(NC(=O)c%11ccccc%11)cccc%10C(=O)c89)cccc3C(=O)c12)c%12ccccc%12
3956-62-5,[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c(O[S]([O-])(=O)=O)c3c(NC(=O)c4ccc(cc4)c5ccccc5)cccc13
3564-70-3,[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c3ccc4c(O[S]([O-])(=O)=O)c5ccccc5c6ccc1c3c46
128-66-5,O=C1c2ccccc2c3ccc4C(=O)c5ccccc5c6ccc1c3c46
6711-83-7,[Na+].[Na+].[O-][S](=O)(=O)Oc1c2cccc(NC(=O)c3ccccc3)c2c(O[S]([O-])(=O)=O)c4cccc(NC(=O)c5ccccc5)c14
82-18-8,O=C(Nc1cccc2C(=O)c3c(NC(=O)c4ccccc4)cccc3C(=O)c12)c5ccccc5
129-09-9,O=C1c2ccc3nc(sc3c2C(=O)c4ccc5nc(sc5c14)c6ccccc6)c7ccccc7
