SMILES,Tag,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference,identifier,vie,aie,vea,aea,hl,s0s1,s0t1,hr,cr2,cr1,er,ar1,ar2,lumo,homo
c1csc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)c1,9426.0,CC#N,413.0,479.0,0.9,0.33,4.630427875,,,,,412.64528,10.1021/jo070100o,csd_RAJGUF,7.174955283,6.737987546,-0.532774722,-0.922920346,7.426535288,3.6757,1.9588,0.75908867,0.322120934,0.436967736,0.671389593,0.390145624,0.281243969,-0.147485788,-7.574021076
c1ccc(-c2nc(-c3c4ccccc4cc4ccccc34)n3ccccc23)cc1,1628.0,ClCCl,382.0,548.0,,0.064,4.153967222,,,,102.0,370.45392,http://dx.doi.org/10.1016/j.dyepig.2016.09.056,csd_EVOVUI,6.606230492,6.452893981,-0.802939569,-0.923327973,5.483369214,2.8552,1.7488,0.298051634,0.144715123,0.153336511,0.2394693,0.120388404,0.119080896,-0.987501706,-6.47087092
O=Cc1ccc2ccc3cccc4ccc1c2c34,1143.0,CCCCCC,387.0,386.0,7.4336,0.002,,,,,28.6,230.2654,doi:10.1016/j.tet.2012.05.072,csd_EFONIY01,7.506946662,7.426036258,-1.060760564,-1.184558256,5.760925494,3.1344,1.9073,0.162167155,0.081256751,0.080910404,0.245356677,0.123797693,0.121558984,-1.403836126,-7.16476162
c1csc(-c2ccc(-c3cccs3)s2)c1,2769.0,ClCCl,355.0,432.0,0.17,0.05,4.357934847,,,,,248.39352,http://dx.doi.org/10.1021/jo500029f,csd_RAJGIT,7.711575247,7.289359899,-0.109168327,-0.507300225,8.798534076,4.3241,1.7949,0.755923984,0.333708637,0.422215348,0.685760478,0.398131898,0.28762858,0.447355416,-8.35117866
c1ccc(-c2cc(-c3ccc(-c4nc(-c5ccccn5)c(-c5ccccn5)[nH]4)cc3)cc(-c3ccccn3)n2)nc1,17117.0,CC(C)=O,381.0,452.0,1.09,0.201,4.093071306,,,,,529.60562,DOI: 10.1021/jp512583m,csd_DAHBAS,6.909832435,6.782486893,-0.660505033,-0.871749581,6.087462294,3.6006,2.5574,0.255553142,0.1282076,0.127345542,0.384897906,0.211244547,0.173653359,-0.720013644,-6.807475938
c1ccc(C2=C(c3ccccc3)c3cccc4c3c(cc3nc5ccccc5nc34)O2)cc1,17344.0,ClCCl,494.0,553.0,,0.54,,,,73.5,73.5,422.48592,DOI: 10.1021/acsomega.7b00335,csd_BELTEU,6.67849499,6.587938445,-1.046662283,-1.153346753,5.370986132,2.7169,1.9405,0.1815531,0.090996554,0.090556546,0.213516699,0.106684471,0.106832229,-1.220975518,-6.59196165
c1ccc2c(c1)[nH]c1c3[nH]c4ccccc4c3c3nsnc3c21,18894.0,Cc1ccccc1,410.0,456.0,1.02,0.07,,,,,72.2,314.3714,DOI: 10.1021/jo301458m,csd_MUNHIN,7.591128611,7.4987938,-0.498937618,-0.644718068,6.854823774,3.5249,2.3918,0.195791465,0.103456654,0.092334811,0.29239248,0.14578045,0.14661203,-0.460416888,-7.315240662
Oc1cc2ccc3cc(O)cc4ccc(c1)c2c34,8384.0,CO,381.0,405.0,29.0,0.93,3.84509804,,,,,234.2534,http://dx.doi.org/10.1021/ja2006862,csd_CARJOW,7.725526859,7.42698229,-0.286999942,-0.497124604,8.048315778,3.8792,1.6095,0.470644374,0.172099805,0.298544569,0.421768128,0.210124662,0.211643466,0.070205412,-7.978110366
c1ccc2c(-n3cnc4ccccc43)cccc2c1,11194.0,C1CCCCC1,283.0,358.0,5.1,0.28,,,2850.0,,,244.29628,https://doi.org/10.1016/j.cplett.2005.12.092,csd_BODTOE,8.063970741,7.814836497,-0.167968054,-0.31944355,7.838515884,4.4442,2.6447,0.517626734,0.268492489,0.249134245,0.303375545,0.151475496,0.151900049,-0.178506784,-8.017022668
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,355.0,CCCCCC,395.0,512.0,1.41,0.0086,,,,,105.1,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,csd_DIXQIL,7.44218217,7.179938806,-1.256577716,-1.443752012,6.215900102,3.0686,2.5683,0.440464537,0.178221173,0.262243364,0.374005863,0.187174295,0.186831568,-1.203560222,-7.419460324
c1ccc2c(c1)CCc1ccccc1N2,2624.0,CO,290.0,359.0,3.68,0.131,4.24,,,,,195.26422,10.1021/jp0710739,csd_HBZAZP01,6.856253679,6.798658165,1.365757609,0.988679824,7.20966043,4.2931,3.1445,0.114934396,0.057338882,0.057595513,0.502811814,0.377077785,0.125734029,0.75647692,-6.45318351
c1ccc2c(c1)[nH]c1cccnc12,5075.0,C1CCCCC1,336.0,341.0,4.6,0.145,4.41,,,,,168.19852,https://doi.org/10.1016/S0301-0104(01)00575-4,csd_VAWFUX,7.910272917,7.838805359,0.46631017,0.302623667,8.378662174,4.3346,3.1713,0.170162245,0.098694687,0.071467558,0.327777939,0.163686503,0.164091436,0.46939665,-7.909265524
c1ccc(-c2nnc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)o2)cc1,19208.0,Cc1ccccc1,340.0,387.0,2.00594,0.57,4.352182518,,,,,387.44098,DOI: 10.1021/jo201488v,csd_UCIXEL,7.172179176,7.11411032,-0.681366109,-0.855098653,6.105421818,3.5787,2.787,0.117388891,0.059320036,0.058068855,0.358885984,0.173732544,0.185153441,-0.878383992,-6.98380581
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccncc1)c64)C(=O)N(c1ccncc1)C5=O,14528.0,ClC(Cl)Cl,530.0,576.0,3.74,0.97,4.934498451,,,,,544.52504,https://doi.org/10.1016/j.jlumin.2012.05.017,csd_FEDPOU,7.757602786,7.65215208,-2.655456306,-2.832592452,5.11030092,2.5719,1.2796,0.213982286,0.10853158,0.105450706,0.352485047,0.177136146,0.175348901,-2.652295158,-7.762596078
C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,8525.0,ClC(Cl)Cl,328.0,348.0,2.57,0.5,4.59,,,,,278.35316,DOI: 10.1021/ol0528991,csd_FEFPOW01,7.347322086,7.205643184,-0.629060818,-0.79510157,6.766658838,3.8009,2.3673,0.285318522,0.14363962,0.141678902,0.331569848,0.166040752,0.165529096,-0.592120064,-7.358778902
C(#Cc1ccccc1C#Cc1ccccc1)c1ccccc1,2728.0,CC#N,310.0,360.0,1.467,0.52,,,5056.6,,,278.35316,10.1021/jp056127y,csd_PEMZAJ01,7.460980539,7.323734129,-0.443749089,-0.633269198,7.100542716,3.869,2.4878,0.271545472,0.134299062,0.13724641,0.358847616,0.189520108,0.169327508,-0.398374896,-7.498917612
O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc2sc3ccccc3c2c1,6518.0,C1CCOC1,312.0,594.0,38.3,0.005,,,,,100.9,469.56286,DOI: 10.1021/acs.chemmater.7b00450,csd_MABCEA,6.445173562,6.351319267,-0.835132832,-1.041941377,5.146764196,2.6787,2.6614,0.191183215,0.097328919,0.093854296,0.403050903,0.206808545,0.196242358,-1.038931252,-6.185695448
C1=Cc2ccccc2Cc2ccccc21,2630.0,CO,285.0,380.0,3.72,0.016,4.26,,,,,192.26028,10.1021/jp0710739,csd_BADLUP,7.626074471,7.412507349,0.12706121,-0.144069315,7.023806568,4.1567,2.7181,0.416080701,0.202513579,0.213567122,0.508076567,0.271130526,0.236946041,-0.223949822,-7.24775639
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,2076.0,CCCCCC,344.0,380.0,54.7,0.52,4.64,,,,,230.30916,http://dx.doi.org/10.1021/jo400128c,csd_DATTID,7.066397606,6.954193303,-0.267381312,-0.39094934,6.807748052,3.7795,1.9572,0.222345438,0.110141135,0.112204303,0.243453022,0.123568029,0.119884993,-0.259324642,-7.067072694
Nc1ccc2c(c1)Cc1ccccc1-2,4878.0,C1CCCCC1,318.0,347.0,5.3,0.74,3.74,,,,,181.23734,https://doi.org/10.1016/S0022-2860(98)00375-5,csd_MATHIY,6.904952016,6.677642348,0.938815042,0.725325717,6.965302058,4.1137,2.9524,0.368731668,0.141422,0.227309668,0.435824694,0.213489324,0.22233537,0.550214508,-6.41508755
O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc(N2c3ccccc3Oc3ccccc32)cc1,15930.0,Cc1ccccc1,413.0,509.0,23.0,0.44,,,,,103.0,544.60856,10.1002/anie.201402992,csd_HEBQAJ,6.629481817,6.5867923,-0.984573759,-1.211228395,5.60690897,2.9612,2.7638,0.086091427,0.043401911,0.042689516,0.441480203,0.226654635,0.214825567,-0.975800804,-6.582709774
O=C(O)c1ccc2ccc3cccc4ccc1c2c34,1159.0,CCCCCC,381.0,387.0,8.68,0.56,,,,,6.9,246.2644,doi:10.1016/j.tet.2012.05.072,csd_LAQFUH,7.528814886,7.413156068,-0.789729496,-0.97621956,6.74570606,3.6699,1.928,0.232094956,0.116436138,0.115658818,0.372947394,0.186490065,0.186457329,-0.781783522,-7.527489582
c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1907.0,CCO,411.0,451.0,4.72,0.74,4.39,,,,,270.33016,doi:10.1016/j.jlumin.2011.05.048,csd_DIWMOM02,6.564312663,6.479127838,-0.576548993,-0.771591465,5.575887974,2.9765,1.6029,0.16632141,0.081136585,0.085184825,0.346185907,0.195042471,0.151143436,-0.781511408,-6.357399382
c1ccc(Nc2ccc3ccccc3n2)cc1,1030.0,Cc1ccccc1,348.0,404.04,,0.1666,4.056180423,,,,69.5,220.27428,https://doi.org/10.1016/j.jlumin.2018.12.059,csd_NILRIM,7.279333914,7.204491026,0.11858456,-0.086301908,7.498373384,3.976,2.8704,0.157551258,0.08270837,0.074842888,0.410564896,0.204886468,0.205678428,0.16054726,-7.337826124
c1ccc(-c2ccccc2)cc1,4482.0,C1CCCCC1,254.1296061,332.7787022,22.2,0.25,4.269512944,,,,,154.2114,https://doi.org/10.1016/S1386-1425(02)00207-X,csd_BIFUOR,8.132867748,7.927008309,0.627203912,0.300550893,7.842869708,4.9208,3.3728,0.382348034,0.176488596,0.205859438,0.561405278,0.32665302,0.234752258,0.191296142,-7.651573566
c1cc2c3c(c1)-c1cccc4cccc(c14)B3c1cccc3cccc-2c13,20215.0,Cc1ccccc1,466.0,491.0,6.31,0.9,4.36361198,,,,,338.2161,DOI: 10.1021/acs.orglett.5b03167,csd_FUXLUH,7.051429132,6.981707539,-1.32939662,-1.375094357,5.45316456,2.817,1.9673,0.141158865,0.071437272,0.069721593,0.090059122,0.045697737,0.044361385,-1.42723793,-6.88040249
c1ccc2c(c1)ncc1ccc3cnc4ccccc4c3c12,19383.0,CC#N,397.0,408.0,6.3,0.14,3.477121255,,,,,280.32928,DOI: 10.1021/acs.joc.6b00835,csd_BOLMIZ,7.982712195,7.835607502,-0.764366947,-0.950862318,7.216191166,3.6127,2.5282,0.299573486,0.152468794,0.147104692,0.370464326,0.186495371,0.183968956,-0.768994164,-7.98518533
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc2)cc1,1191.0,ClCCl,284.0,489.0,2.68,0.6,4.6,,,,,552.67932,DOI: 10.1039/c6cp04252j,csd_BITSUU,6.508738304,6.436814492,-0.530037799,-0.809339146,5.808001216,3.5518,2.7604,0.15371611,0.081792298,0.071923812,0.521318722,0.279301347,0.242017375,-0.596201774,-6.40420299
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,362.0,CCCCCC,442.0,529.0,5.51,0.3918,,,,,89.1,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,csd_HAVFAO,6.6794912,6.622789445,-1.483607161,-1.664769778,4.819683168,2.7328,2.2998,0.113422285,0.056720531,0.056701755,0.360672685,0.181162617,0.179510068,-1.74833245,-6.568015618
c1ccc(N(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1,2738.0,Cc1ccccc1,428.0,489.0,21.0,0.92,,,,,61.2,345.44386,DOI: 10.1021/acs.jpca.5b03238,csd_FEKVOI,6.608736934,6.480734236,-0.724071408,-0.846906933,5.816164636,2.7921,1.6969,0.278611266,0.150608568,0.128002698,0.242937121,0.122835525,0.120101596,-0.795117108,-6.611281744
Clc1ccc(Nc2ccc3ccccc3n2)cc1,1034.0,Cc1ccccc1,347.0,400.68,,0.1622,4.110926242,,,,65.9,254.71934,https://doi.org/10.1016/j.jlumin.2018.12.059,csd_OBUDEW,7.325685486,7.222389651,-0.01177791,-0.213168121,7.393881608,3.9626,2.8644,0.22642361,0.123127775,0.103295835,0.40505475,0.201390211,0.20366454,0.02585083,-7.368030778
c1csc(-c2cccs2)c1,2767.0,ClCCl,304.0,359.0,0.046,0.01,4.053078443,,,,,166.26764,http://dx.doi.org/10.1021/jo500029f,csd_HEBWOD,7.65479213,7.387896733,0.40630457,0.151781107,6.98652695,4.228,2.657,0.448806872,0.181911474,0.266895398,0.420565521,0.254523463,0.166042058,-0.10340332,-7.08993027
