PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
[*]C#Cc1ccc([*])c(SCCCCCCCCCCCC)c1,0.0,0.0,0.0,3.7364,0.0,0.0,0.0,0.0
[*]C#Cc1ccc([*])s1,0.0,0.0,0.0,1.6499,0.0,0.0,0.0,0.0
[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,0.0,0.0,0.0,1.7209,0.0,0.0,0.0,0.0
[*]C(=NCCCCCC)N([*])CCCCCC,0.0,0.0,0.0,4.3588,0.0,0.0,0.0,0.0
[*]C(=O)C(=S)C(=O)O[*],-6.47,5.1004,1.4341,2.3358,7.4364,0.0,0.0,0.0
[*]C(=O)C(=S)OC(=S)[*],-5.98,0.0,1.4146,2.6385,0.0,0.0,6.46,2.3004
[*]C(=O)C(C)NC(=O)CNC(=O)C1CCCN1[*],0.0,0.0,0.0,5.7716,0.0,0.0,0.0,0.0
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42,3.783,1.6753,2.994,6.7765,0.0,5.0,2.0994
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51,2.1866,2.9556,4.2825,6.4709,0.0,4.54,1.9846
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45,3.6543,2.4807,3.618,7.268,0.0,4.76,2.003
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38,2.9183,0.0,2.9419,5.8604,0.0,4.98,2.1209
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31,3.9759,0.0,2.3711,6.3469,0.0,5.13,2.1236
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35,3.4955,2.5144,3.2688,6.7625,0.0,5.24,2.0397
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.37,3.6994,2.0643,2.4596,6.1599,0.0,5.49,2.2139
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42,2.6442,2.5479,3.3319,5.9803,0.0,4.43,2.0217
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38,3.0595,0.0,2.8474,5.9085,0.0,6.15,2.3607
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3,3.8058,0.0,2.3592,6.162,0.0,5.75,2.244
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38,2.8757,1.7624,2.9694,5.8483,0.0,5.86,2.2925
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.31,2.775,0.0,2.7359,5.5122,0.0,5.1,2.1519
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],-6.35,2.3086,2.7538,3.7187,6.028,0.0,4.73,1.9796
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],-6.3,3.2631,2.0547,3.5119,6.7719,0.0,5.05,2.0762
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.33,2.5289,3.0776,3.6478,6.1761,0.0,4.79,2.0027
[*]C(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1[*])c1ccccc1,0.0,0.0,0.0,5.0377,0.0,0.0,0.0,0.0
[*]C(=O)C(O)c1ccc([*])s1,0.0,0.0,0.0,4.0132,0.0,0.0,0.0,0.0
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],-6.33,4.6396,1.1902,2.2094,6.8471,0.0,6.61,2.3542
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.37,4.0693,1.863,2.966,7.0438,0.0,7.04,2.0879
[*]C(=O)C(S1)=CC=C1C(=O)O[*],-6.49,3.3779,3.202,3.9821,7.3658,0.0,4.57,1.8811
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.19,4.1286,0.0,2.0759,6.205,0.0,6.22,2.2975
[*]C(=O)C(S1)=CC=C1C(=S)O[*],-6.21,4.037,2.3663,2.753,6.7886,0.0,5.45,2.068
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.29,3.7335,1.9265,2.3241,6.0589,0.0,5.9,2.2782
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.34,3.2278,1.5224,2.5282,5.7571,0.0,7.44,2.5812
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.38,2.9075,2.0204,2.8763,5.7839,0.0,5.45,2.1334
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.22,4.1032,1.6466,2.0098,6.113,0.0,6.5,2.3807
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.27,3.453,1.2608,1.9407,5.3929,0.0,8.28,2.705
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],-6.27,2.952,2.3145,2.6473,5.5977,0.0,5.23,2.0521
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],0.0,2.7059,2.3992,2.5473,5.4902,0.0,5.35,2.0222
[*]C(=O)C(S1)=CC=C1OC(=S)[*],-6.17,3.2522,1.6701,3.5676,6.8199,0.0,6.41,2.3124
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],-6.22,2.882,2.4838,3.475,6.3539,0.0,5.0,2.0427
[*]C(=O)C1CC(OC(=O)CCC)CN1[*],0.0,0.0,0.0,5.4104,0.0,0.0,0.0,0.0
[*]C(=O)C1CC(OC(C)=O)CN1[*],0.0,0.0,0.0,4.1614,0.0,0.0,0.0,0.0
[*]C(=O)C1CC1C(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.7206,0.0,0.0,0.0,0.0
[*]C(=O)C1CCCN1[*],0.0,0.0,0.0,5.5773,0.0,0.0,0.0,0.0
[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,0.0,0.0,0.0,4.123,0.0,0.0,0.0,0.0
[*]C(=O)CCC=CCCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.4878,0.0,33.97,0.0,0.0
[*]C(=O)CCCCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.6091,0.0,0.0,0.0,0.0
[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,0.0,0.0,0.0,5.7455,0.0,0.0,0.0,0.0
[*]C(=O)CCCCCCCCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.5924,0.0,52.64,0.0,0.0
[*]C(=O)CCN(C)CCN(C)CCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,4.9845,0.0,0.0,0.0,0.0
[*]C(=O)CCN1CCN(CCC(=O)N2CCN([*])C(C)C2)CC1,0.0,0.0,0.0,4.9509,0.0,0.0,0.0,0.0
[*]C(=O)CCP(=O)(CCC(=O)N1CCN([*])CC1)c1ccccc1,0.0,0.0,0.0,4.8984,0.0,0.0,0.0,0.0
[*]C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1[*],0.0,0.0,0.0,5.248,0.0,0.0,0.0,0.0
[*]C(=O)COCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.5847,0.0,0.0,0.0,0.0
[*]C(=O)COCCOCC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.6095,0.0,0.0,0.0,0.0
[*]C(=O)N([*])C(C)C(C)=O,0.0,0.0,0.0,4.4468,0.0,0.0,0.0,0.0
[*]C(=O)N([*])CC,0.0,0.0,0.0,6.052,0.0,0.0,0.0,0.0
[*]C(=O)N([*])CC=C,0.0,0.0,0.0,5.5128,0.0,0.0,0.0,0.0
[*]C(=O)N([*])CCCCCCCCC=C,0.0,0.0,0.0,5.1782,0.0,0.0,0.0,0.0
[*]C(=O)N1CC(=O)N(C(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)C1=O,0.0,0.0,0.0,3.533,0.0,0.0,0.0,0.0
[*]C(=O)NC(=O)CNC(=O)ON[*],-6.11,2.0185,4.9352,5.7289,8.0693,0.0,5.02,1.7831
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],-6.29,1.5146,3.2632,3.5876,5.7225,0.0,5.34,1.9797
[*]C(=O)NC(=O)NCCCN[*],-5.77,0.6578,6.0227,6.155,6.8266,0.0,4.19,1.7499
[*]C(=O)NC(=O)OC(=O)NCN[*],-6.22,1.6859,5.4649,6.5319,8.0251,0.0,4.67,1.7355
[*]C(=O)NC1CCCC([*])O1,0.0,0.0,0.0,6.2047,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])nc1,0.0,0.0,0.0,4.5311,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCCCNC(=O)c1ccc([*])nc1,0.0,0.0,0.0,4.7836,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCCCNC(=O)c1cncc([*])c1,0.0,0.0,0.0,4.7551,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)C1=COC=C([*])O1,0.0,0.0,0.0,4.4645,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)C1COC([*])CO1,0.0,0.0,0.0,5.8235,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)N1CCN([*])CC1,0.0,0.0,0.0,5.4634,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1cc(O)cc([*])n1,0.0,0.0,0.0,4.8984,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1cc([*])c(C)nc1C,0.0,0.0,0.0,5.2417,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1ccc([*])nc1,0.0,0.0,0.0,4.574,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1ccc([*])o1,0.0,0.0,0.0,4.6438,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1cccc([*])n1,0.0,0.0,0.0,4.786,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1ccncc1[*],0.0,0.0,0.0,4.5298,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1cncc([*])c1,0.0,0.0,0.0,4.9388,0.0,0.0,0.0,0.0
[*]C(=O)NCCCCCCNC(=O)c1cnn([*])c1,0.0,0.0,0.0,5.1584,0.0,0.0,0.0,0.0
[*]C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,0.0,0.0,0.0,3.6854,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)C(=O)NNC(=O)c1cncc([*])n1,0.0,0.0,0.0,4.3374,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc([*])nc2)s1,0.0,0.0,0.0,3.3177,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1ccc([*])nc1,0.0,0.0,0.0,3.5892,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)c1,0.0,0.0,0.0,3.8367,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)n1,0.0,0.0,0.0,3.6092,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc([*])n2)c1,0.0,0.0,0.0,4.479,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cnc([*])cn2)c1,0.0,0.0,0.0,3.3027,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cccc([*])n1,0.0,0.0,0.0,4.6124,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cnc([*])cn1,0.0,0.0,0.0,3.0611,0.0,0.0,0.0,0.0
[*]C(=O)NNC(=O)c1cncc(C(=O)NNC(=O)c2ccc([*])nc2)c1,0.0,0.0,0.0,3.9225,0.0,0.0,0.0,0.0
[*]C(=O)NOCCCCO[*],-5.44,0.0,5.6793,6.9613,6.4266,0.0,3.69,1.6747
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],-5.99,1.3385,0.0,0.0,5.6948,0.0,6.1,2.1192
[*]C(=O)Nc1cc(NC(=O)c2ccc([*])o2)c(N)cc1N,0.0,0.0,0.0,2.8199,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)cc(-c2nc3ccccc3[nH]2)c1,0.0,0.0,0.0,3.2918,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,2.4779,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)cc2)cc1,0.0,0.0,0.0,2.6204,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,0.0,0.0,0.0,2.9934,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.0,0.0,0.0,3.193,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CC(C)CC(C)(C)C2)cc1,0.0,0.0,0.0,2.7929,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)C)CC2)cc1,0.0,0.0,0.0,2.7711,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)CC)CC2)cc1,0.0,0.0,0.0,2.8521,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(CC)CC2)cc1,0.0,0.0,0.0,2.9185,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,0.0,0.0,0.0,2.8477,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,0.0,0.0,0.0,3.1109,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,2.5578,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,0.0,0.0,0.0,3.1573,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,0.0,0.0,0.0,2.9178,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)cc2)cc1,0.0,0.0,0.0,2.7114,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)cc1,0.0,0.0,0.0,2.3407,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc([*])cc5C4=O)c2C)C3=O)cc1,0.0,0.0,0.0,3.3589,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5s4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,0.0,0.0,0.0,2.886,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,0.0,0.0,0.0,2.6514,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)cc1,0.0,0.0,0.0,2.8645,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,0.0,0.0,0.0,2.7403,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,0.0,0.0,0.0,2.9484,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)cc1,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,0.0,0.0,0.0,2.7025,0.0,73.35,0.0,0.0
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,0.0,0.0,0.0,2.4295,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,2.699,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,2.7174,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3cccc([*])n3)cc2)cc1,0.0,0.0,0.0,3.4406,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,0.0,0.0,0.0,3.6016,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,2.6835,0.0,0.0,0.0,0.0
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.0,0.0,0.0,3.3421,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc([*])cc4C3=O)c2)c1,0.0,0.0,0.0,2.8632,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)c2)c1,0.0,0.0,0.0,3.1175,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)c2)c1,0.0,0.0,0.0,3.186,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)c1,0.0,0.0,0.0,3.0227,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc(-c3nc4cc([*])ccc4[nH]3)cc2)c1,0.0,0.0,0.0,3.2886,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)c1,0.0,0.0,0.0,2.7447,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4ccc(-c5nc6cc([*])ccc6[nH]5)cc4)nc3c2)c1,0.0,0.0,0.0,3.1791,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,0.0,0.0,0.0,3.3364,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,0.0,0.0,0.0,3.4965,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5o4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,0.0,0.0,0.0,2.7946,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)n1,0.0,0.0,0.0,2.5119,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c1,0.0,0.0,0.0,3.0501,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,0.0,0.0,0.0,3.2959,0.0,0.0,0.0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2cccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)c2)c1,0.0,0.0,0.0,3.3084,0.0,0.0,0.0,0.0
[*]C(=O)Nc1nc(C#N)c([*])n1C,0.0,0.0,0.0,4.1864,0.0,0.0,0.0,0.0
[*]C(=O)Nc1nc([*])c(C#N)n1C,0.0,0.0,0.0,4.3854,0.0,0.0,0.0,0.0
[*]C(=O)OC(=O)O[*],-6.78,2.3361,5.926,5.0987,7.4502,0.0,4.67,1.5714
[*]C(=O)OC(=S)O[*],-6.2,3.1486,3.9378,4.2076,7.3548,0.0,4.16,1.7396
