PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.38,2.9075,2.0204,2.8763,5.7839,,5.45,2.1334
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.22,4.1032,1.6466,2.0098,6.113,,6.5,2.3807
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.27,3.453,1.2608,1.9407,5.3929,,8.28,2.705
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],-6.27,2.952,2.3145,2.6473,5.5977,,5.23,2.0521
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],,2.7059,2.3992,2.5473,5.4902,,5.35,2.0222
[*]C(=O)C(S1)=CC=C1OC(=S)[*],-6.17,3.2522,1.6701,3.5676,6.8199,,6.41,2.3124
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],-6.22,2.882,2.4838,3.475,6.3539,,5.0,2.0427
[*]C(=O)C1CC(OC(=O)CCC)CN1[*],,,,5.4104,,,,
[*]C(=O)C1CC(OC(C)=O)CN1[*],,,,4.1614,,,,
[*]C(=O)C1CC1C(=O)N1CCN([*])CC1,,,,5.7206,,,,
[*]C(=O)C1CCCN1[*],,,,5.5773,,,,
[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,,,,4.123,,,,
[*]C(=O)CCC=CCCC(=O)N1CCN([*])CC1,,,,5.4878,,33.97,,
[*]C(=O)CCCCC(=O)N1CCN([*])CC1,,,,5.6091,,,,
[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,,,,5.7455,,,,
[*]C(=O)CCCCCCCCC(=O)N1CCN([*])CC1,,,,5.5924,,52.64,,
[*]C(=O)CCN(C)CCN(C)CCC(=O)N1CCN([*])CC1,,,,4.9845,,,,
[*]C(=O)CCN1CCN(CCC(=O)N2CCN([*])C(C)C2)CC1,,,,4.9509,,,,
[*]C(=O)CCP(=O)(CCC(=O)N1CCN([*])CC1)c1ccccc1,,,,4.8984,,,,
[*]C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1[*],,,,5.248,,,,
[*]C(=O)COCC(=O)N1CCN([*])CC1,,,,5.5847,,,,
[*]C(=O)COCCOCC(=O)N1CCN([*])CC1,,,,5.6095,,,,
[*]C(=O)N([*])C(C)C(C)=O,,,,4.4468,,,,
[*]C(=O)N([*])CC,,,,6.052,,,,
[*]C(=O)N([*])CC=C,,,,5.5128,,,,
[*]C(=O)N([*])CCCCCCCCC=C,,,,5.1782,,,,
[*]C(=O)N1CC(=O)N(C(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)C1=O,,,,3.533,,,,
[*]C(=O)NC(=O)CNC(=O)ON[*],-6.11,2.0185,4.9352,5.7289,8.0693,,5.02,1.7831
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],-6.29,1.5146,3.2632,3.5876,5.7225,,5.34,1.9797
[*]C(=O)NC(=O)NCCCN[*],-5.77,0.6578,6.0227,6.155,6.8266,,4.19,1.7499
[*]C(=O)NC(=O)OC(=O)NCN[*],-6.22,1.6859,5.4649,6.5319,8.0251,,4.67,1.7355
[*]C(=O)NC1CCCC([*])O1,,,,6.2047,,,,
[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])nc1,,,,4.5311,,,,
[*]C(=O)NCCCCCCCCNC(=O)c1ccc([*])nc1,,,,4.7836,,,,
[*]C(=O)NCCCCCCCCNC(=O)c1cncc([*])c1,,,,4.7551,,,,
[*]C(=O)NCCCCCCNC(=O)C1=COC=C([*])O1,,,,4.4645,,,,
[*]C(=O)NCCCCCCNC(=O)C1COC([*])CO1,,,,5.8235,,,,
[*]C(=O)NCCCCCCNC(=O)N1CCN([*])CC1,,,,5.4634,,,,
[*]C(=O)NCCCCCCNC(=O)c1cc(O)cc([*])n1,,,,4.8984,,,,
[*]C(=O)NCCCCCCNC(=O)c1cc([*])c(C)nc1C,,,,5.2417,,,,
[*]C(=O)NCCCCCCNC(=O)c1ccc([*])nc1,,,,4.574,,,,
[*]C(=O)NCCCCCCNC(=O)c1ccc([*])o1,,,,4.6438,,,,
[*]C(=O)NCCCCCCNC(=O)c1cccc([*])n1,,,,4.786,,,,
[*]C(=O)NCCCCCCNC(=O)c1ccncc1[*],,,,4.5298,,,,
[*]C(=O)NCCCCCCNC(=O)c1cncc([*])c1,,,,4.9388,,,,
[*]C(=O)NCCCCCCNC(=O)c1cnn([*])c1,,,,5.1584,,,,
[*]C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.6854,,,,
[*]C(=O)NNC(=O)C(=O)NNC(=O)c1cncc([*])n1,,,,4.3374,,,,
[*]C(=O)NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc([*])nc2)s1,,,,3.3177,,,,
[*]C(=O)NNC(=O)c1ccc([*])nc1,,,,3.5892,,,,
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)c1,,,,3.8367,,,,
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)n1,,,,3.6092,,,,
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc([*])n2)c1,,,,4.479,,,,
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cnc([*])cn2)c1,,,,3.3027,,,,
[*]C(=O)NNC(=O)c1cccc([*])n1,,,,4.6124,,,,
[*]C(=O)NNC(=O)c1cnc([*])cn1,,,,3.0611,,,,
[*]C(=O)NNC(=O)c1cncc(C(=O)NNC(=O)c2ccc([*])nc2)c1,,,,3.9225,,,,
[*]C(=O)NOCCCCO[*],-5.44,,5.6793,6.9613,6.4266,,3.69,1.6747
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],-5.99,1.3385,,,5.6948,,6.1,2.1192
[*]C(=O)Nc1cc(NC(=O)c2ccc([*])o2)c(N)cc1N,,,,2.8199,,,,
[*]C(=O)Nc1cc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)cc(-c2nc3ccccc3[nH]2)c1,,,,3.2918,,,,
[*]C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.4779,,,,
[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)cc2)cc1,,,,2.6204,,,,
[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,,,,2.9934,,,,
[*]C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,,3.193,,,,
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CC(C)CC(C)(C)C2)cc1,,,,2.7929,,,,
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)C)CC2)cc1,,,,2.7711,,,,
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)CC)CC2)cc1,,,,2.8521,,,,
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(CC)CC2)cc1,,,,2.9185,,,,
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,,,,2.8477,,,,
[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,3.1109,,,,
[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.5578,,,,
[*]C(=O)Nc1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.1573,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.9178,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)cc2)cc1,,,,2.7114,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)cc1,,,,2.3407,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc([*])cc5C4=O)c2C)C3=O)cc1,,,,3.3589,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5s4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,,,,2.886,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.6514,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)cc1,,,,2.8645,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.7403,,,,
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,,,,2.9484,,,,
[*]C(=O)Nc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)cc1,,,,2.92,,,,
[*]C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.7025,,73.35,,
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,,,,2.4295,,,,
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.699,,,,
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.7174,,,,
[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3cccc([*])n3)cc2)cc1,,,,3.4406,,,,
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,,,,3.6016,,,,
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.6835,,,,
[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,3.3421,,,,
[*]C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc([*])cc4C3=O)c2)c1,,,,2.8632,,,,
[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)c2)c1,,,,3.1175,,,,
[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)c2)c1,,,,3.186,,,,
[*]C(=O)Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)c1,,,,3.0227,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc(-c3nc4cc([*])ccc4[nH]3)cc2)c1,,,,3.2886,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)c1,,,,2.7447,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4ccc(-c5nc6cc([*])ccc6[nH]5)cc4)nc3c2)c1,,,,3.1791,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,,,,3.3364,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,,,,3.4965,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5o4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,,,,2.7946,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)n1,,,,2.5119,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c1,,,,3.0501,,,,
[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,,,,3.2959,,,,
[*]C(=O)Nc1cccc(NC(=O)c2cccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)c2)c1,,,,3.3084,,,,
[*]C(=O)Nc1nc(C#N)c([*])n1C,,,,4.1864,,,,
[*]C(=O)Nc1nc([*])c(C#N)n1C,,,,4.3854,,,,
[*]C(=O)OC(=O)O[*],-6.78,2.3361,5.926,5.0987,7.4502,,4.67,1.5714
[*]C(=O)OC(=S)O[*],-6.2,3.1486,3.9378,4.2076,7.3548,,4.16,1.7396
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],-6.32,3.6938,2.3448,2.9816,6.6755,,4.83,2.0099
[*]C(=O)OC(S1)=CC=C1C(=S)[*],-6.21,3.8482,1.9856,2.7905,6.6347,,5.33,2.0962
[*]C(=O)OC(S1)=CC=C1O[*],-6.25,1.7594,3.6706,4.2235,5.9838,,4.26,1.8728
[*]C(=O)OC1=NCCN1[*],,,,5.1364,,,,
[*]C(=O)OC1CC([*])N(C(=O)OCc2ccccc2)C1,,,,5.588,,,,
[*]C(=O)OC1CC2CC(OC(=O)N3CCN([*])CC3)CC(C1)O2,,,,5.7033,,,,
[*]C(=O)OC1CCC(OC(=O)N2CC(C)N([*])CC2C)CC1,,,,5.8738,,,,
[*]C(=O)OC1CCC(OC(=O)N2CCN([*])CC2)CC1,,,6.2573,5.8355,,,,
[*]C(=O)OC1CCN([*])CC1,,,,5.5791,,,,
[*]C(=O)OCC(C)(C)COC(=O)N1CC(C)N([*])CC1C,,,,5.8365,,,,
[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])C(C)C1,,,,5.8979,,,,
[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])CC1,,,6.4401,5.8163,,,,
[*]C(=O)OCC1CC1COC(=O)N1CCN([*])CC1,,,,5.9115,,,,
[*]C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.2472,,,,
[*]C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,8.62,,
[*]C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,14.52,,
[*]C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,15.48,,
[*]C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.9577,,16.63,,
[*]C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,20.25,,
[*]C(=O)OCCCCCCOC(=O)N1CCN([*])CC1,,,,5.9678,,,,
[*]C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,18.18,,
[*]C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,19.53,,
[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,,,6.4265,5.8653,,,,
[*]C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,26.33,,
[*]C(=O)OCCOC(=O)N1CC(C)N([*])CC1C,,,,5.9632,,,,
[*]C(=O)OCCOC(=O)N1CCN([*])CC1,,,,5.8752,,,,
[*]C(=O)OCCOC(=O)c1ccc([*])o1,,,,4.3379,,,,
[*]C(=O)Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.6231,,,,
[*]C(=O)Oc1ccc(OC(=O)N2CC(C)N([*])CC2C)cc1,,,,5.5219,,,,
[*]C(=O)Oc1ccc(OC(=O)N2CCN([*])CC2)cc1,,,,5.2692,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,,,,2.5898,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,,,,2.5796,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C)c1,,,,2.6804,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.5383,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc2)C3=O)cc1,,,,2.3605,,,,
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Sc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.9567,,,,
[*]C(=O)Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2c1,,,,2.5688,,,,
[*]C(=O)SSCCCCCCSSC(=O)N1CCN([*])CC1,,,,4.64,,,,
[*]C(=O)SSCCCCSSC(=O)N1CCN([*])CC1,,,,4.2166,,,,
[*]C(=O)c1ccc(C(=O)N(C)N([*])C)cc1,,,,4.0457,,,,
[*]C(=O)c1ccc(C(=O)N(C)c2ccc(Cl)c(N([*])C)c2)cc1,,,,3.3332,,,,
[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,,,4.7036,4.6128,,,,
