index,PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
35.0,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45,3.6543,2.4807,3.618,7.268,,4.76,2.003
36.0,[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38,2.9183,,2.9419,5.8604,,4.98,2.1209
37.0,[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31,3.9759,,2.3711,6.3469,,5.13,2.1236
38.0,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35,3.4955,2.5144,3.2688,6.7625,,5.24,2.0397
39.0,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.37,3.6994,2.0643,2.4596,6.1599,,5.49,2.2139
40.0,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42,2.6442,2.5479,3.3319,5.9803,,4.43,2.0217
41.0,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38,3.0595,,2.8474,5.9085,,6.15,2.3607
42.0,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3,3.8058,,2.3592,6.162,,5.75,2.244
43.0,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38,2.8757,1.7624,2.9694,5.8483,,5.86,2.2925
44.0,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.31,2.775,,2.7359,5.5122,,5.1,2.1519
45.0,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],-6.35,2.3086,2.7538,3.7187,6.028,,4.73,1.9796
46.0,[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],-6.3,3.2631,2.0547,3.5119,6.7719,,5.05,2.0762
47.0,[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.33,2.5289,3.0776,3.6478,6.1761,,4.79,2.0027
48.0,[*]C(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1[*])c1ccccc1,,,,5.0377,,,,
49.0,[*]C(=O)C(O)c1ccc([*])s1,,,,4.0132,,,,
50.0,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],-6.33,4.6396,1.1902,2.2094,6.8471,,6.61,2.3542
51.0,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.37,4.0693,1.863,2.966,7.0438,,7.04,2.0879
52.0,[*]C(=O)C(S1)=CC=C1C(=O)O[*],-6.49,3.3779,3.202,3.9821,7.3658,,4.57,1.8811
53.0,[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.19,4.1286,,2.0759,6.205,,6.22,2.2975
54.0,[*]C(=O)C(S1)=CC=C1C(=S)O[*],-6.21,4.037,2.3663,2.753,6.7886,,5.45,2.068
55.0,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.29,3.7335,1.9265,2.3241,6.0589,,5.9,2.2782
56.0,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.34,3.2278,1.5224,2.5282,5.7571,,7.44,2.5812
57.0,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.38,2.9075,2.0204,2.8763,5.7839,,5.45,2.1334
58.0,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.22,4.1032,1.6466,2.0098,6.113,,6.5,2.3807
59.0,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.27,3.453,1.2608,1.9407,5.3929,,8.28,2.705
60.0,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],-6.27,2.952,2.3145,2.6473,5.5977,,5.23,2.0521
61.0,[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],,2.7059,2.3992,2.5473,5.4902,,5.35,2.0222
62.0,[*]C(=O)C(S1)=CC=C1OC(=S)[*],-6.17,3.2522,1.6701,3.5676,6.8199,,6.41,2.3124
63.0,[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],-6.22,2.882,2.4838,3.475,6.3539,,5.0,2.0427
64.0,[*]C(=O)C1CC(OC(=O)CCC)CN1[*],,,,5.4104,,,,
65.0,[*]C(=O)C1CC(OC(C)=O)CN1[*],,,,4.1614,,,,
66.0,[*]C(=O)C1CC1C(=O)N1CCN([*])CC1,,,,5.7206,,,,
67.0,[*]C(=O)C1CCCN1[*],,,,5.5773,,,,
68.0,[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,,,,4.123,,,,
69.0,[*]C(=O)CCC=CCCC(=O)N1CCN([*])CC1,,,,5.4878,,33.97,,
70.0,[*]C(=O)CCCCC(=O)N1CCN([*])CC1,,,,5.6091,,,,
71.0,[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,,,,5.7455,,,,
72.0,[*]C(=O)CCCCCCCCC(=O)N1CCN([*])CC1,,,,5.5924,,52.64,,
73.0,[*]C(=O)CCN(C)CCN(C)CCC(=O)N1CCN([*])CC1,,,,4.9845,,,,
74.0,[*]C(=O)CCN1CCN(CCC(=O)N2CCN([*])C(C)C2)CC1,,,,4.9509,,,,
75.0,[*]C(=O)CCP(=O)(CCC(=O)N1CCN([*])CC1)c1ccccc1,,,,4.8984,,,,
76.0,[*]C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1[*],,,,5.248,,,,
77.0,[*]C(=O)COCC(=O)N1CCN([*])CC1,,,,5.5847,,,,
78.0,[*]C(=O)COCCOCC(=O)N1CCN([*])CC1,,,,5.6095,,,,
79.0,[*]C(=O)N([*])C(C)C(C)=O,,,,4.4468,,,,
80.0,[*]C(=O)N([*])CC,,,,6.052,,,,
81.0,[*]C(=O)N([*])CC=C,,,,5.5128,,,,
82.0,[*]C(=O)N([*])CCCCCCCCC=C,,,,5.1782,,,,
83.0,[*]C(=O)N1CC(=O)N(C(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)C1=O,,,,3.533,,,,
84.0,[*]C(=O)NC(=O)CNC(=O)ON[*],-6.11,2.0185,4.9352,5.7289,8.0693,,5.02,1.7831
85.0,[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],-6.29,1.5146,3.2632,3.5876,5.7225,,5.34,1.9797
86.0,[*]C(=O)NC(=O)NCCCN[*],-5.77,0.6578,6.0227,6.155,6.8266,,4.19,1.7499
87.0,[*]C(=O)NC(=O)OC(=O)NCN[*],-6.22,1.6859,5.4649,6.5319,8.0251,,4.67,1.7355
88.0,[*]C(=O)NC1CCCC([*])O1,,,,6.2047,,,,
89.0,[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])nc1,,,,4.5311,,,,
90.0,[*]C(=O)NCCCCCCCCNC(=O)c1ccc([*])nc1,,,,4.7836,,,,
91.0,[*]C(=O)NCCCCCCCCNC(=O)c1cncc([*])c1,,,,4.7551,,,,
92.0,[*]C(=O)NCCCCCCNC(=O)C1=COC=C([*])O1,,,,4.4645,,,,
93.0,[*]C(=O)NCCCCCCNC(=O)C1COC([*])CO1,,,,5.8235,,,,
94.0,[*]C(=O)NCCCCCCNC(=O)N1CCN([*])CC1,,,,5.4634,,,,
95.0,[*]C(=O)NCCCCCCNC(=O)c1cc(O)cc([*])n1,,,,4.8984,,,,
96.0,[*]C(=O)NCCCCCCNC(=O)c1cc([*])c(C)nc1C,,,,5.2417,,,,
97.0,[*]C(=O)NCCCCCCNC(=O)c1ccc([*])nc1,,,,4.574,,,,
98.0,[*]C(=O)NCCCCCCNC(=O)c1ccc([*])o1,,,,4.6438,,,,
99.0,[*]C(=O)NCCCCCCNC(=O)c1cccc([*])n1,,,,4.786,,,,
100.0,[*]C(=O)NCCCCCCNC(=O)c1ccncc1[*],,,,4.5298,,,,
101.0,[*]C(=O)NCCCCCCNC(=O)c1cncc([*])c1,,,,4.9388,,,,
102.0,[*]C(=O)NCCCCCCNC(=O)c1cnn([*])c1,,,,5.1584,,,,
103.0,[*]C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.6854,,,,
104.0,[*]C(=O)NNC(=O)C(=O)NNC(=O)c1cncc([*])n1,,,,4.3374,,,,
105.0,[*]C(=O)NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc([*])nc2)s1,,,,3.3177,,,,
106.0,[*]C(=O)NNC(=O)c1ccc([*])nc1,,,,3.5892,,,,
107.0,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)c1,,,,3.8367,,,,
108.0,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)n1,,,,3.6092,,,,
109.0,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc([*])n2)c1,,,,4.479,,,,
110.0,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cnc([*])cn2)c1,,,,3.3027,,,,
111.0,[*]C(=O)NNC(=O)c1cccc([*])n1,,,,4.6124,,,,
112.0,[*]C(=O)NNC(=O)c1cnc([*])cn1,,,,3.0611,,,,
113.0,[*]C(=O)NNC(=O)c1cncc(C(=O)NNC(=O)c2ccc([*])nc2)c1,,,,3.9225,,,,
114.0,[*]C(=O)NOCCCCO[*],-5.44,,5.6793,6.9613,6.4266,,3.69,1.6747
115.0,[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],-5.99,1.3385,,,5.6948,,6.1,2.1192
116.0,[*]C(=O)Nc1cc(NC(=O)c2ccc([*])o2)c(N)cc1N,,,,2.8199,,,,
117.0,[*]C(=O)Nc1cc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)cc(-c2nc3ccccc3[nH]2)c1,,,,3.2918,,,,
118.0,[*]C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.4779,,,,
119.0,[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)cc2)cc1,,,,2.6204,,,,
120.0,[*]C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,,,,2.9934,,,,
121.0,[*]C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,,3.193,,,,
122.0,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CC(C)CC(C)(C)C2)cc1,,,,2.7929,,,,
123.0,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)C)CC2)cc1,,,,2.7711,,,,
124.0,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)CC)CC2)cc1,,,,2.8521,,,,
125.0,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(CC)CC2)cc1,,,,2.9185,,,,
126.0,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,,,,2.8477,,,,
127.0,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,3.1109,,,,
128.0,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.5578,,,,
129.0,[*]C(=O)Nc1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.1573,,,,
130.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.9178,,,,
131.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)cc2)cc1,,,,2.7114,,,,
132.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)cc1,,,,2.3407,,,,
133.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc([*])cc5C4=O)c2C)C3=O)cc1,,,,3.3589,,,,
134.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5s4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,,,,2.886,,,,
135.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.6514,,,,
136.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)cc1,,,,2.8645,,,,
137.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,,,,2.7403,,,,
138.0,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,,,,2.9484,,,,
139.0,[*]C(=O)Nc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)cc1,,,,2.92,,,,
140.0,[*]C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.7025,,73.35,,
141.0,[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,,,,2.4295,,,,
142.0,[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.699,,,,
143.0,[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.7174,,,,
144.0,[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)c3cccc([*])n3)cc2)cc1,,,,3.4406,,,,
145.0,[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)cc2)cc1,,,,3.6016,,,,
146.0,[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.6835,,,,
147.0,[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,3.3421,,,,
148.0,[*]C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc([*])cc4C3=O)c2)c1,,,,2.8632,,,,
149.0,[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)c2)c1,,,,3.1175,,,,
150.0,[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)c2)c1,,,,3.186,,,,
151.0,[*]C(=O)Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)c1,,,,3.0227,,,,
152.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc(-c3nc4cc([*])ccc4[nH]3)cc2)c1,,,,3.2886,,,,
153.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc([*])ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)c1,,,,2.7447,,,,
154.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4ccc(-c5nc6cc([*])ccc6[nH]5)cc4)nc3c2)c1,,,,3.1791,,,,
155.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,,,,3.3364,,,,
156.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,,,,3.4965,,,,
157.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5o4)cc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,,,,2.7946,,,,
158.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc([*])cc7C6=O)cccc45)cc2)C3=O)n1,,,,2.5119,,,,
159.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c1,,,,3.0501,,,,
160.0,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,,,,3.2959,,,,
161.0,[*]C(=O)Nc1cccc(NC(=O)c2cccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)c2)c1,,,,3.3084,,,,
162.0,[*]C(=O)Nc1nc(C#N)c([*])n1C,,,,4.1864,,,,
163.0,[*]C(=O)Nc1nc([*])c(C#N)n1C,,,,4.3854,,,,
164.0,[*]C(=O)OC(=O)O[*],-6.78,2.3361,5.926,5.0987,7.4502,,4.67,1.5714
165.0,[*]C(=O)OC(=S)O[*],-6.2,3.1486,3.9378,4.2076,7.3548,,4.16,1.7396
166.0,[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],-6.32,3.6938,2.3448,2.9816,6.6755,,4.83,2.0099
167.0,[*]C(=O)OC(S1)=CC=C1C(=S)[*],-6.21,3.8482,1.9856,2.7905,6.6347,,5.33,2.0962
168.0,[*]C(=O)OC(S1)=CC=C1O[*],-6.25,1.7594,3.6706,4.2235,5.9838,,4.26,1.8728
169.0,[*]C(=O)OC1=NCCN1[*],,,,5.1364,,,,
170.0,[*]C(=O)OC1CC([*])N(C(=O)OCc2ccccc2)C1,,,,5.588,,,,
171.0,[*]C(=O)OC1CC2CC(OC(=O)N3CCN([*])CC3)CC(C1)O2,,,,5.7033,,,,
172.0,[*]C(=O)OC1CCC(OC(=O)N2CC(C)N([*])CC2C)CC1,,,,5.8738,,,,
173.0,[*]C(=O)OC1CCC(OC(=O)N2CCN([*])CC2)CC1,,,6.2573,5.8355,,,,
174.0,[*]C(=O)OC1CCN([*])CC1,,,,5.5791,,,,
175.0,[*]C(=O)OCC(C)(C)COC(=O)N1CC(C)N([*])CC1C,,,,5.8365,,,,
176.0,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])C(C)C1,,,,5.8979,,,,
177.0,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])CC1,,,6.4401,5.8163,,,,
178.0,[*]C(=O)OCC1CC1COC(=O)N1CCN([*])CC1,,,,5.9115,,,,
179.0,[*]C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,,,,3.2472,,,,
180.0,[*]C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,8.62,,
181.0,[*]C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,14.52,,
182.0,[*]C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,15.48,,
183.0,[*]C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,2.9577,,16.63,,
184.0,[*]C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,20.25,,
185.0,[*]C(=O)OCCCCCCOC(=O)N1CCN([*])CC1,,,,5.9678,,,,
186.0,[*]C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,18.18,,
187.0,[*]C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,19.53,,
188.0,[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,,,6.4265,5.8653,,,,
189.0,[*]C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,,,,26.33,,
190.0,[*]C(=O)OCCOC(=O)N1CC(C)N([*])CC1C,,,,5.9632,,,,
191.0,[*]C(=O)OCCOC(=O)N1CCN([*])CC1,,,,5.8752,,,,
192.0,[*]C(=O)OCCOC(=O)c1ccc([*])o1,,,,4.3379,,,,
193.0,[*]C(=O)Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,2.6231,,,,
194.0,[*]C(=O)Oc1ccc(OC(=O)N2CC(C)N([*])CC2C)cc1,,,,5.5219,,,,
195.0,[*]C(=O)Oc1ccc(OC(=O)N2CCN([*])CC2)cc1,,,,5.2692,,,,
196.0,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,,,,2.5898,,,,
197.0,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,,,,2.5796,,,,
